wikiData	wikiDataLabel	tagInfo	tagClassLabel	mainCategoryLabel
http://www.wikidata.org/entity/Q740445	ridge	Tag:natural=ridge		Category:Ridges
http://www.wikidata.org/entity/Q745455	baby hatch	Tag:amenity=baby_hatch	infant equipment	
http://www.wikidata.org/entity/Q745455	baby hatch	Tag:amenity=baby_hatch	amnesty bin	
http://www.wikidata.org/entity/Q749847	Peruvian cuisine	Tag:cuisine=peruvian	national cuisine	Category:Peruvian cuisine
http://www.wikidata.org/entity/Q751734	smoking ban	Tag:smoking=no	activity policy on smoking	Category:Smoking ban
http://www.wikidata.org/entity/Q756102	open-air museum	Tag:museum=open_air	type of museum	Category:Open-air museums
http://www.wikidata.org/entity/Q759421	Naturschutzgebiet	Tag:boundary=protected_area	aspect in a geographic region	Category:Nature reserves in Germany
http://www.wikidata.org/entity/Q759421	Naturschutzgebiet	Tag:protect_class=4	aspect in a geographic region	Category:Nature reserves in Germany
http://www.wikidata.org/entity/Q759421	Naturschutzgebiet	Tag:protection_title=Naturschutzgebiet	aspect in a geographic region	Category:Nature reserves in Germany
http://www.wikidata.org/entity/Q759421	Naturschutzgebiet	Tag:boundary=protected_area	designation type	Category:Nature reserves in Germany
http://www.wikidata.org/entity/Q759421	Naturschutzgebiet	Tag:protect_class=4	designation type	Category:Nature reserves in Germany
http://www.wikidata.org/entity/Q759421	Naturschutzgebiet	Tag:protection_title=Naturschutzgebiet	designation type	Category:Nature reserves in Germany
http://www.wikidata.org/entity/Q763244	blood bank	Tag:healthcare=blood_bank		Category:Blood banks
http://www.wikidata.org/entity/Q771902	Philippine Independent Church	Tag:denomination=philippine_independent	Christian denomination	Category:Philippine Independent Church
http://www.wikidata.org/entity/Q779608	exception	Key:except		
http://www.wikidata.org/entity/Q782613	Orthodox Presbyterian Church	Tag:denomination=orthodox_presbyterian_church	Christian denomination	Category:Orthodox Presbyterian Church
http://www.wikidata.org/entity/Q782667	highway strip	Tag:aeroway=highway_strip		Category:Highway strips
http://www.wikidata.org/entity/P2900	fax number	Key:fax	Wikidata property for Wikivoyage listings	
http://www.wikidata.org/entity/P2900	fax number	Key:fax	Wikidata property for an identifier that does not imply notability	
http://www.wikidata.org/entity/Q4022	river	Tag:type=waterway		Category:Rivers
http://www.wikidata.org/entity/Q4022	river	Tag:waterway=river		Category:Rivers
http://www.wikidata.org/entity/Q4022	river	Tag:type=waterway		Category:River
http://www.wikidata.org/entity/Q4022	river	Tag:waterway=river		Category:River
http://www.wikidata.org/entity/Q5377	golf	Tag:sport=golf	type of sport	Category:Golf
http://www.wikidata.org/entity/Q5377	golf	Tag:sport=golf	Q13137940	Category:Golf
http://www.wikidata.org/entity/Q9089	Hinduism	Tag:religion=hindy	religion	Category:Hinduism
http://www.wikidata.org/entity/Q9089	Hinduism	Tag:religion=hindy	culture	Category:Hinduism
http://www.wikidata.org/entity/Q9089	Hinduism	Tag:religion=hindy	lifestyle	Category:Hinduism
http://www.wikidata.org/entity/Q9089	Hinduism	Tag:religion=hindy	exonym	Category:Hinduism
http://www.wikidata.org/entity/Q9089	Hinduism	Tag:religion=hindy	major religion	Category:Hinduism
http://www.wikidata.org/entity/Q9581	Confucianism	Tag:religion=confucian	religion	Category:Confucianism
http://www.wikidata.org/entity/Q9581	Confucianism	Tag:religion=confucian	philosophical movement	Category:Confucianism
http://www.wikidata.org/entity/Q11642	pottery	Tag:shop=pottery	handicraft	Category:Pottery
http://www.wikidata.org/entity/Q11642	pottery	Tag:shop=pottery	visual arts technique	Category:Pottery
http://www.wikidata.org/entity/Q11756	prehistory	Tag:historic:civilization=prehistoric	time	Category:Prehistory
http://www.wikidata.org/entity/Q11756	prehistory	Tag:historic:civilization=prehistoric	periodization	Category:Prehistory
http://www.wikidata.org/entity/Q11756	prehistory	Tag:historic:civilization=prehistoric	historical period	Category:Prehistory
http://www.wikidata.org/entity/Q12280	bridge	Tag:man_made=bridge	geographical feature	Category:Bridges
http://www.wikidata.org/entity/Q12280	bridge	Tag:seamark:type=bridge	geographical feature	Category:Bridges
http://www.wikidata.org/entity/Q12284	canal	Tag:waterway=canal	type of watercourse	Category:Canals
http://www.wikidata.org/entity/Q12493	dome	Tag:roof:shape=dome	roof shape	Category:Domes
http://www.wikidata.org/entity/Q12493	dome	Tag:tower:construction=dome	roof shape	Category:Domes
http://www.wikidata.org/entity/Q13233	ice cream	Key:ice_cream		Category:Ice cream
http://www.wikidata.org/entity/Q14092	gymnasium	Tag:leisure=sports_hall		Category:Gyms
http://www.wikidata.org/entity/Q16521	taxon	Key:taxon	second-order class	Category:Taxa
http://www.wikidata.org/entity/Q17167	Roman Republic	Tag:historic:period=roman_republic	historical period	Category:Roman Republic
http://www.wikidata.org/entity/Q18822	Global Positioning System	Tag:source=GPS	satellite navigation system	Category:Global Positioning System
http://www.wikidata.org/entity/Q18822	Global Positioning System	Tag:source=GPS	radionavigation-satellite service	Category:Global Positioning System
http://www.wikidata.org/entity/Q22657	concrete	Tag:material=concrete		Category:Concrete
http://www.wikidata.org/entity/Q22733	garage	Tag:building=garage		Category:Garages (residential)
http://www.wikidata.org/entity/Q22733	garage	Tag:building=garages		Category:Garages (residential)
http://www.wikidata.org/entity/Q23397	lake	Tag:water=lake		Category:Lakes
http://www.wikidata.org/entity/Q23757	limestone	Tag:resource=limestone		Category:Limestone
http://www.wikidata.org/entity/Q25391	dune	Tag:landform=dune_system		Category:Dunes
http://www.wikidata.org/entity/Q27590	heath	Tag:natural=heath	landscape type	Category:Heaths
http://www.wikidata.org/entity/Q27590	heath	Tag:natural=heath	syntaxon	Category:Heaths
http://www.wikidata.org/entity/Q30022	coffeehouse	Tag:amenity=cafe		Category:Coffeehouses and cafés
http://www.wikidata.org/entity/Q32768	Anglo-Saxons	Tag:historic:civilization=anglo-saxon	ethnic group	Category:Anglo-Saxon people
http://www.wikidata.org/entity/Q33709	traffic enforcement camera	Tag:highway=speed_camera		Category:Traffic enforcement cameras
http://www.wikidata.org/entity/Q34198	Washo	Key:name:was	language	Category:Washo language
http://www.wikidata.org/entity/Q34198	Washo	Key:name:was	modern language	Category:Washo language
http://www.wikidata.org/entity/Q34636	Art Nouveau	Tag:building:architecture=art_nouveau	architectural style	Category:Art Nouveau
http://www.wikidata.org/entity/Q34636	Art Nouveau	Tag:building:architecture=art_nouveau	art movement	Category:Art Nouveau
http://www.wikidata.org/entity/Q34770	language	Key:language	languoid class	Category:Languages
http://www.wikidata.org/entity/Q34770	language	Key:language	languoid class	Category:Languages sorted alphabetically
http://www.wikidata.org/entity/Q35966	Ancient Celts	Tag:historic:civilization=celtic	culture	Category:Celts
http://www.wikidata.org/entity/Q35966	Ancient Celts	Tag:historic:civilization=celtic	style	Category:Celts
http://www.wikidata.org/entity/Q36389	taekwondo	Tag:sport=taekwondo	type of sport	Category:Taekwondo
http://www.wikidata.org/entity/Q36495	Southern Min	Key:name:nan	language	Category:Southern Min
http://www.wikidata.org/entity/Q36495	Southern Min	Key:name:nan	modern language	Category:Southern Min
http://www.wikidata.org/entity/Q37038	advertising	Key:advertising	service	Category:Advertising
http://www.wikidata.org/entity/Q39594	bay	Tag:natural=bay		Category:Bays
http://www.wikidata.org/entity/Q40089	brick	Tag:building:material=brick		Category:Bricks
http://www.wikidata.org/entity/Q41466	ice hockey	Tag:sport=ice_hockey	type of sport	Category:Ice hockey
http://www.wikidata.org/entity/Q41466	ice hockey	Tag:sport=ice_hockey	Olympic sport	Category:Ice hockey
http://www.wikidata.org/entity/Q41466	ice hockey	Tag:sport=ice_hockey	team sport	Category:Ice hockey
http://www.wikidata.org/entity/Q41466	ice hockey	Tag:sport=ice_hockey	Q13137940	Category:Ice hockey
http://www.wikidata.org/entity/Q42295	shrub	Tag:natural=shrub	plant life-form	Category:Shrubs
http://www.wikidata.org/entity/Q45584	Vaishnavism	Tag:denomination=vaishnavism	Hindu denomination	Category:Vaishnavism
http://www.wikidata.org/entity/Q47692	Chinese garden	Tag:garden:style=chinese		Category:Chinese gardens
http://www.wikidata.org/entity/Q52824	Jōmon period	Tag:historic:period=jomon	archaeological culture	Category:Jōmon period
http://www.wikidata.org/entity/Q52824	Jōmon period	Tag:historic:period=jomon	archaeological period	Category:Jōmon period
http://www.wikidata.org/entity/Q57305	trade fair	Tag:amenity=exhibition_centre		Category:Trade fairs
http://www.wikidata.org/entity/Q58635	Punjabi	Key:name:pa	natural language	Category:Punjabi language
http://www.wikidata.org/entity/Q58635	Punjabi	Key:name:pnb	natural language	Category:Punjabi language
http://www.wikidata.org/entity/Q58635	Punjabi	Key:name:pa	modern language	Category:Punjabi language
http://www.wikidata.org/entity/Q58635	Punjabi	Key:name:pnb	modern language	Category:Punjabi language
http://www.wikidata.org/entity/Q64900	Maronite Church	Tag:denomination=maronite	Eastern Catholic Churches	Category:Maronite Church
http://www.wikidata.org/entity/Q64900	Maronite Church	Tag:denomination=maronite	Catholic particular church sui iuris	Category:Maronite Church
http://www.wikidata.org/entity/Q79719	license	Key:source:license		Category:Licenses
http://www.wikidata.org/entity/Q80071	symbol	Key:symbol	notation	Category:Symbols
http://www.wikidata.org/entity/Q80793	sundial	Tag:display=sundial		Category:Sundials
http://www.wikidata.org/entity/Q81957	berm	Tag:barrier=berm		
http://www.wikidata.org/entity/Q91939	hardened aircraft shelter	Tag:bunker_type=hardened_aircraft_shelter		
http://www.wikidata.org/entity/Q93191	Baptists	Tag:denomination=baptist	Christian denomination	Category:Baptist Christianity
http://www.wikidata.org/entity/Q93267	isthmus	Tag:natural=isthmus	place type	Category:Isthmuses
http://www.wikidata.org/entity/Q101659	dolmen	Tag:megalith_type=dolmen		Category:Dolmens
